施設名,英語名,カテゴリ,住所,英語住所,電話番号,緯度,経度,対応言語,特徴,24時間営業,緊急施設,スポンサー,ウェブサイト,公開中
神戸大学医学部附属病院,Kobe University Hospital,hospital,神戸市中央区楠町7-5-2,7-5-2 Kusunoki-cho Chuo-ku Kobe,078-382-5111,34.689600,135.189600,"en, zh","救急指定, 国際診療室, 外国語対応",true,true,false,,true
神戸市立医療センター中央市民病院,Kobe City Medical Center General Hospital,hospital,神戸市中央区港島南町2-1-1,2-1-1 Minatojima-minamimachi Chuo-ku Kobe,078-302-4321,34.661800,135.204400,"en, zh, ko","救急指定, 24時間対応, 高度救命救急",true,true,false,https://www.kcho.jp,true
兵庫県立こども病院,Hyogo Prefectural Kobe Children's Hospital,hospital,神戸市中央区港島南町1-6-7,1-6-7 Minatojima-minamimachi Chuo-ku Kobe,078-945-7300,34.662500,135.205400,en,"小児専門, 24時間救急",true,true,false,,true
神戸赤十字病院,Kobe Red Cross Hospital,hospital,神戸市中央区港島中町1-3-1,1-3-1 Minatojima-nakamachi Chuo-ku Kobe,078-231-5981,34.671000,135.200600,"en, zh","救急指定, 輸血センター, 災害拠点病院",true,true,false,,true
神戸掖済会病院,Kobe Ekisaikai Hospital,hospital,神戸市中央区橘通3-3-10,3-3-10 Tachibana-dori Chuo-ku Kobe,078-341-1321,34.692200,135.186800,en,"救急指定, 海外旅行者対応",false,true,false,,true
神戸市立西市民病院,Kobe City Nishi Citizen Hospital,hospital,神戸市長田区細田町3-3-1,3-3-1 Hosodacho Nagata-ku Kobe,078-576-5251,34.682000,135.148000,en,"救急指定, 総合診療",false,true,false,,true
甲南病院,Konan Hospital,hospital,神戸市東灘区岡本8-6-1,8-6-1 Okamoto Higashinada-ku Kobe,078-431-4101,34.723800,135.268400,en,"救急対応, 内科外科",false,true,false,,true
神戸百年記念病院,Kobe Centennial Memorial Hospital,hospital,神戸市須磨区須磨浦通4-1-1,4-1-1 Sumaura-dori Suma-ku Kobe,078-735-3000,34.628500,135.123700,en,"内科, 外科, 整形外科",false,true,false,,true
神戸市立西神戸医療センター,Kobe City Nishi-Kobe Medical Center,hospital,神戸市西区糀台6-1-1,6-1-1 Kojidai Nishi-ku Kobe,078-929-1500,34.714200,135.090500,en,"救急指定, 総合病院",false,true,false,,true
神戸海星病院,Kobe Kaisei Hospital,hospital,神戸市灘区岩屋北町3-11-15,3-11-15 Iwaya-kitamachi Nada-ku Kobe,078-871-5201,34.717300,135.218100,en,"内科, 外科, 産婦人科",false,true,false,,true
神戸協同病院,Kobe Kyodo Hospital,hospital,神戸市長田区大谷町2-3-1,2-3-1 Otanicho Nagata-ku Kobe,078-611-3984,34.672000,135.148000,en,"救急対応, 内科",false,true,false,,true
垂水病院,Tarumi Hospital,hospital,神戸市垂水区日向2-5-1,2-5-1 Hyuga Tarumi-ku Kobe,078-754-2233,34.633700,134.981800,en,"内科, 外科",false,true,false,,true
神戸労災病院,Kobe Rosai Hospital,hospital,神戸市中央区港島南町1-4-7,1-4-7 Minatojima-minamimachi Chuo-ku Kobe,078-302-2131,34.663000,135.203000,en,"救急指定, 整形外科, 外傷",false,true,false,,true
兵庫県立加古川医療センター分院（神戸西）,Hyogo Medical University Kobe West Hospital,hospital,神戸市西区伊川谷町有瀬322,322 Ause Ikawadanicho Nishi-ku Kobe,078-997-2200,34.698000,135.063000,en,"救急指定, 総合診療",false,true,false,,true
神戸低侵襲がん医療センター,Kobe Minimally Invasive Cancer Center,hospital,神戸市中央区港島南町2-2-2,2-2-2 Minatojima-minamimachi Chuo-ku Kobe,078-302-7000,34.661000,135.204000,en,"がん専門, 最先端治療",false,false,false,,true
マツモトキヨシ 三宮センタープラザ店,Matsumoto Kiyoshi Sannomiya Center Plaza,pharmacy,神戸市中央区三宮町1-10-1,1-10-1 Sannomiya-cho Chuo-ku Kobe,078-331-1772,34.692900,135.194500,"en, zh, ko","免税対応, 英語対応, 外国語スタッフ, 化粧品充実",false,true,false,https://www.matsumotokiyoshi.com,true
ウエルシア薬局 神戸元町店,Welcia Pharmacy Kobe Motomachi,pharmacy,神戸市中央区元町通1-7-1,1-7-1 Motomachi-dori Chuo-ku Kobe,078-391-2111,34.689700,135.185100,en,"処方箋調剤, 英語対応",false,true,false,,true
ツルハドラッグ 神戸北野坂店,Tsuruha Drug Kobe Kitanozaka,pharmacy,神戸市中央区山本通3-1-5,3-1-5 Yamamoto-dori Chuo-ku Kobe,078-241-1882,34.697900,135.187800,en,"観光地近く, 免税手続き",false,false,false,,true
スギ薬局 三宮店,Sugi Pharmacy Sannomiya,pharmacy,神戸市中央区磯辺通2-1-8,2-1-8 Isobedori Chuo-ku Kobe,078-271-3300,34.693500,135.197000,en,"調剤薬局, 処方箋対応",false,true,false,,true
ドラッグセイムス 神戸兵庫店,Drug Seims Kobe Hyogo,pharmacy,神戸市兵庫区駅前通1-3-4,1-3-4 Ekimae-dori Hyogo-ku Kobe,078-681-2200,34.682000,135.162000,,"調剤, 日用品",false,true,false,,true
マツモトキヨシ 神戸元町駅前店,Matsumoto Kiyoshi Kobe Motomachi Station,pharmacy,神戸市中央区元町通2-3-1,2-3-1 Motomachi-dori Chuo-ku Kobe,078-321-4455,34.689300,135.183100,"en, zh","免税対応, 化粧品",false,true,false,,true
ウエルシア 神戸灘店,Welcia Kobe Nada,pharmacy,神戸市灘区大石東町1-1-1,1-1-1 Oishi-higashimachi Nada-ku Kobe,078-843-2200,34.713500,135.228800,,"調剤薬局, 処方箋",false,true,false,,true
トモズ 三宮店,Tomod's Sannomiya,pharmacy,神戸市中央区三宮町1-5-3,1-5-3 Sannomiya-cho Chuo-ku Kobe,078-321-5500,34.694000,135.195000,"en, zh, ko","外国語対応, 免税, 英語スタッフ",false,true,false,,true
コクミン薬局 三宮店,Kokumin Pharmacy Sannomiya,pharmacy,神戸市中央区三宮町2-11-1,2-11-1 Sannomiya-cho Chuo-ku Kobe,078-331-3300,34.693000,135.192000,en,"調剤, 市販薬充実",false,true,false,,true
