施設名,英語名,カテゴリ,住所,英語住所,電話番号,緯度,経度,対応言語,特徴,24時間営業,緊急施設,スポンサー,ウェブサイト,公開中
北野異人館街,Kitano Ijinkan Foreign Settlement,tourism,神戸市中央区北野町,Kitano-cho Chuo-ku Kobe,078-271-3311,34.700100,135.185300,"en, zh, ko","歴史的建造物, 写真スポット, 洋館見学, 北野エリア",false,false,false,,true
風見鶏の館,Kazamidori no Yakata Weathercock House,tourism,神戸市中央区北野町3-13-3,3-13-3 Kitano-cho Chuo-ku Kobe,078-242-3223,34.701800,135.184500,"en, zh, ko","重要文化財, レンガ造り, 北野",false,false,false,,true
うろこの家,Uroko no Ie Scale House,tourism,神戸市中央区北野町2-20-4,2-20-4 Kitano-cho Chuo-ku Kobe,078-242-6530,34.700500,135.184200,"en, zh","異人館, 展望台あり",false,false,false,,true
神戸ポートタワー,Kobe Port Tower,tourism,神戸市中央区波止場町5-5,5-5 Hatoba-cho Chuo-ku Kobe,078-391-6751,34.679300,135.192400,"en, zh, ko","展望台, 360度パノラマ, リニューアル済み, 夜景",false,false,false,https://www.kobe-port-tower.com,true
メリケンパーク,Meriken Park,tourism,神戸市中央区波止場町2-2,2-2 Hatoba-cho Chuo-ku Kobe,078-325-2280,34.679700,135.189800,"en, zh, ko","港の景観, 夜景スポット, 写真撮影",true,false,false,,true
南京町（神戸チャイナタウン）,Nankinmachi Kobe Chinatown,tourism,神戸市中央区栄町通1-3丁目,1-3 Sakaemachi-dori Chuo-ku Kobe,078-332-2896,34.687200,135.185900,"en, zh","中華料理街, 食べ歩き, 観光名所",false,false,false,,true
神戸市立博物館,Kobe City Museum,tourism,神戸市中央区京町24,24 Kyo-machi Chuo-ku Kobe,078-391-0035,34.688300,135.193800,"en, zh","南蛮美術, 歴史展示, オーディオガイド",false,false,false,,true
六甲山,Mt. Rokko,tourism,神戸市灘区六甲山町,Rokkosancho Nada-ku Kobe,078-891-0616,34.759100,135.242600,"en, zh","夜景スポット, ハイキング, 展望台",false,false,false,,true
神戸どうぶつ王国,Kobe Oji Zoo,tourism,神戸市灘区王子町3-1,3-1 Oji-cho Nada-ku Kobe,078-861-5020,34.717800,135.213200,"en, zh, ko","動物園, 家族向け, 子供連れ",false,false,false,https://www.kobe-ojizoo.jp,true
神戸海洋博物館,Kobe Maritime Museum,tourism,神戸市中央区波止場町2-2,2-2 Hatoba-cho Chuo-ku Kobe,078-327-8983,34.680500,135.191200,"en, zh","海事歴史, カワサキワールド",false,false,false,,true
UCC コーヒー博物館,UCC Coffee Museum,tourism,神戸市中央区港島中町6-6-2,6-6-2 Minatojima-nakamachi Chuo-ku Kobe,078-302-8880,34.671700,135.209300,en,"コーヒー歴史, 体験プログラム, カフェ",false,false,false,,true
神戸市立須磨海浜水族園,Suma Aqualife Park Kobe,tourism,神戸市須磨区若宮町1-3-5,1-3-5 Wakamiya-cho Suma-ku Kobe,078-731-7301,34.628300,135.103700,"en, zh","水族館, イルカショー, 家族向け",false,false,false,,true
明石海峡大橋（舞子公園）,Akashi Kaikyo Bridge Maiko Park,tourism,神戸市垂水区東舞子町2051,2051 Higashi-maiko-cho Tarumi-ku Kobe,078-785-5090,34.635000,134.977000,"en, zh, ko","世界最長吊橋, 展望施設, 絶景",false,false,false,,true
有馬温泉,Arima Onsen Hot Springs,tourism,神戸市北区有馬町,Arima-cho Kita-ku Kobe,078-904-0708,34.798200,135.248900,"en, zh, ko","温泉, 金泉銀泉, 日帰り入浴",false,false,false,,true
神戸ワイン城（神戸ワイナリー）,Kobe Winery,tourism,神戸市西区押部谷町高津橋1,1 Takatsuhashi Oshibe-danicho Nishi-ku Kobe,078-976-6903,34.718000,135.023000,en,"ワイナリー, テイスティング, 農業公園",false,false,false,,true
旧居留地,Old Foreign Settlement,tourism,神戸市中央区明石町,Akashi-cho Chuo-ku Kobe,,34.688000,135.191000,"en, zh, ko","歴史地区, 欧風建築, ショッピング",false,false,false,,true
神戸布引ハーブ園,Nunobiki Herb Gardens Kobe,tourism,神戸市中央区北野町1-4-3,1-4-3 Kitano-cho Chuo-ku Kobe,078-271-1160,34.710000,135.181000,"en, zh, ko","ロープウェイ, ハーブ園, 夜景",false,false,false,,true
竹中大工道具館,Takenaka Carpentry Tools Museum,tourism,神戸市中央区熊内町7-5-1,7-5-1 Kumauchi-cho Chuo-ku Kobe,078-242-0216,34.701000,135.189000,"en, zh","大工道具, 日本建築, 職人文化",false,false,false,,true
神戸市立王子競技場,Kobe Universiade Memorial Stadium,tourism,神戸市灘区王子町3-1,3-1 Oji-cho Nada-ku Kobe,078-822-3080,34.718000,135.213000,en,"スタジアム, サッカー, スポーツ観戦",false,false,false,,true
神戸ルミナリエ会場（東遊園地）,Kobe Luminarie East Yuenchi,tourism,神戸市中央区加納町6丁目,6-chome Kanocho Chuo-ku Kobe,,34.693900,135.195900,"en, zh, ko","冬季イルミネーション, 阪神淡路大震災慰霊",false,false,false,,true
神戸ファッション美術館,Kobe Fashion Museum,tourism,神戸市東灘区向洋町中2-9-1,2-9-1 Koyocho-naka Higashinada-ku Kobe,078-858-0050,en,"ファッション, 衣装展示",false,false,false,,true
